"","X","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"93",411,"Arid5b",1.39211816618089e-17,-1.54133746000326,0.108,0.292,2.10766690359787e-13,"Untreated","significant","negative","ARID5B"
"94",145,"Fcgr4",3.146399688481e-35,-1.54031248804125,0.397,0.629,4.76364912836024e-31,"Untreated","significant","negative","FCGR3B"
"95",743,"Rgs1",5.71174276234834e-09,-1.53970729594181,0.151,0.264,8.6475785421954e-05,"Untreated","significant","negative","RGS1"
"96",180,"Apobr",9.17086447884891e-32,1.53624044333718,0.325,0.129,1.38846888209773e-27,"Untreated","significant","positive","APOBR"
"97",568,"Ctsd",2.3482067092505e-12,-1.53487231344157,0.193,0.342,3.55518495780526e-08,"Untreated","significant","negative","CTSD"
"98",81,"Ms4a4c",7.2820991168774e-49,-1.52586815659627,0.376,0.671,1.10250980629524e-44,"Untreated","significant","negative",NA
"99",34,"Irf1",6.9407342689919e-73,-1.52329529221195,0.535,0.829,1.05082716832537e-68,"Untreated","significant","negative","IRF1"
"100",477,"Herc6",4.98896543558575e-15,-1.51997699516502,0.119,0.283,7.55329366947683e-11,"Untreated","significant","negative","HERC6"
"101",295,"Klf16",1.07309790169716e-22,1.51693775234228,0.261,0.109,1.6246702231695e-18,"Untreated","significant","positive","KLF16"
"102",1549,"Gbp7",9.00169057019108e-20,-1.50843329628292,0.249,0.338,1.36285595232693e-15,"NP+","significant","negative","GBP7"
"103",220,"Syne3",1.21960358361316e-27,1.50774732049622,0.31,0.127,1.84647982559033e-23,"Untreated","significant","positive","SYNE3"
"104",176,"R3hdm4",7.22641449774145e-32,1.50764010076885,0.386,0.173,1.09407915495806e-27,"Untreated","significant","positive","R3HDM4"
"105",1209,"Sptbn1",5.56785446602143e-18,-1.50583690595384,0.364,0.457,8.42973166155645e-14,"NP-","significant","negative","SPTBN1"
"106",93,"Klra2",2.68260735208106e-44,-1.49837287589763,0.333,0.629,4.06146753105072e-40,"Untreated","significant","negative",NA
"107",162,"Irgm1",1.10306518192633e-33,-1.49380505605811,0.259,0.537,1.67004068543647e-29,"Untreated","significant","negative","IRGM"
"108",118,"Olfm1",4.53764522240572e-40,1.49134043007916,0.482,0.223,6.86999486672227e-36,"Untreated","significant","positive","OLFM1"
"109",215,"Ltb4r1",5.83105062419741e-28,1.47200433260894,0.295,0.116,8.82821064503488e-24,"Untreated","significant","positive","LTB4R"
"110",139,"Clcn7",4.41482904132435e-36,-1.46430467839071,0.255,0.547,6.68405116856507e-32,"Untreated","significant","negative","CLCN7"
"111",36,"Zbp1",2.46988573611247e-71,-1.45125221692262,0.433,0.791,3.73940700447429e-67,"Untreated","significant","negative","ZBP1"
"112",200,"Rasgrp1",1.29426911172599e-29,-1.45020684209874,0.212,0.481,1.95952343515315e-25,"Untreated","significant","negative","RASGRP1"
"113",251,"Plgrkt",1.05125680056711e-25,-1.44881374549345,0.172,0.416,1.59160279605861e-21,"Untreated","significant","negative","PLGRKT"
"114",77,"Treml4",1.44442906779108e-49,-1.44738890468663,0.41,0.705,2.1868656086357e-45,"Untreated","significant","negative","TREML4"
"115",205,"H2afj",3.67931580594469e-29,1.44634677583208,0.348,0.151,5.57048413020026e-25,"Untreated","significant","positive",NA
"116",265,"F10",7.50101748153835e-25,-1.44223585476834,0.348,0.572,1.13565404670491e-20,"Untreated","significant","negative","F10"
"117",212,"H2-Q6",4.50636608567205e-28,-1.43759509470435,0.206,0.467,6.82263825370748e-24,"Untreated","significant","negative","HLA-G"
"118",224,"Inf2",1.92528289966027e-27,1.43738099457453,0.327,0.142,2.91487831008564e-23,"Untreated","significant","positive","INF2"
"119",286,"Ube2h",5.88231834526445e-23,1.43569953163257,0.293,0.13,8.90582997473038e-19,"Untreated","significant","positive","UBE2H"
"120",276,"Eps8",9.11569642978389e-24,1.43282563617846,0.28,0.117,1.38011643946928e-19,"Untreated","significant","positive","EPS8"
"121",467,"Ticam2",2.28675375248849e-15,-1.42924288197798,0.102,0.268,3.46214518126757e-11,"Untreated","significant","negative","TICAM2"
"122",1421,"Olfm1",1.85189229332373e-43,-1.42463104751696,0.169,0.332,2.80376493209212e-39,"NP+","significant","negative","OLFM1"
"123",110,"Cyth3",3.00094842234524e-41,-1.41972359863778,0.291,0.612,4.54343591143069e-37,"Untreated","significant","negative","CYTH3"
"124",1429,"Rcsd1",9.79817625573021e-41,-1.41761116063341,0.173,0.329,1.48344388511755e-36,"NP+","significant","negative","RCSD1"
"125",67,"Rgl2",2.36977092037391e-53,1.41234089178548,0.575,0.259,3.5878331734461e-49,"Untreated","significant","positive","RGL2"
"126",166,"Nampt",7.0932911559108e-33,-1.41167182130347,0.261,0.538,1.07392428100489e-28,"Untreated","significant","negative","NAMPT"
"127",213,"Ifi202b",4.60650894169056e-28,-1.41124708281928,0.206,0.467,6.9742545377195e-24,"Untreated","significant","negative",NA
