"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"1338","Nomo1",2.04947175293639e-12,0.590607257102756,0.26,0.079,3.28489332560644e-08,"NP-","significant","positive","NOMO3"
"1339","Cyb5a",1.51004772510844e-16,0.590552931702871,0.504,0.215,2.4203044938038e-12,"NP-","significant","positive","CYB5A"
"1340","Capns1",2.88083166382706e-12,-0.589994787123984,0.272,0.594,4.61739699078201e-08,"Untreated","significant","negative","CAPNS1"
"1341","Tyk2",8.7556478878657e-15,0.589638973564542,0.367,0.133,1.40335524346711e-10,"NP-","significant","positive","TYK2"
"1342","Usp42",1.19042603442032e-17,0.58956467015163,0.337,0.095,1.90801484796888e-13,"NP-","significant","positive","USP42"
"1343","Capzb",3.14328796627623e-15,-0.589404081294192,0.409,0.785,5.03806195234754e-11,"Untreated","significant","negative","CAPZB"
"1344","H3f3b",1.84020834972342e-07,-0.589340104373268,0.566,0.794,0.0029494859429367,"NP+","significant","negative","H3-3B"
"1345","Ywhah",1.77236347011062e-17,0.589248206642699,0.595,0.274,2.8407441698933e-13,"NP-","significant","positive","YWHAH"
"1346","Adsl",8.88903265447914e-09,-0.589232450561568,0.109,0.303,0.000142473415385992,"Untreated","significant","negative","ADSL"
"1347","Gsr",3.4589341599709e-09,-0.589076730002099,0.123,0.341,5.54397967160135e-05,"Untreated","significant","negative","GSR"
"1348","Il10rb",4.66468778185709e-12,-0.588397461621509,0.159,0.431,7.47656157676055e-08,"Untreated","significant","negative","IL10RB"
"1349","Itgal",1.40614925631373e-12,-0.58764669018549,0.674,0.904,2.25377602801964e-08,"Untreated","significant","negative","ITGAL"
"1350","Zbp1",1.5842791033441e-13,-0.587626458369939,0.283,0.569,2.53928254683992e-09,"Untreated","significant","negative","ZBP1"
"1351","Arhgap45",7.37786037121664e-13,-0.587472557441706,0.699,0.954,1.1825234602986e-08,"NP+","significant","negative","ARHGAP45"
"1352","Lrch1",3.15016586544949e-12,-0.58745007696471,0.13,0.379,5.04908584914245e-08,"Untreated","significant","negative","LRCH1"
"1353","Dyrk1a",1.23259693045402e-07,-0.58738170716274,0.241,0.498,0.0019756063601317,"NP+","significant","negative","DYRK1A"
"1354","Gimap9",1.95156073397402e-18,0.587210369108578,0.709,0.351,3.12796154441356e-14,"NP-","significant","positive",NA
"1355","Ankle2",5.70305023548592e-09,-0.587128793703444,0.101,0.329,9.14084891743683e-05,"Untreated","significant","negative","ANKLE2"
"1356","Gpr183",2.8542045500976e-07,-0.586785402494889,0.21,0.418,0.00457471905289643,"Untreated","significant","negative","GPR183"
"1357","Zfp317",1.87698065467968e-12,0.58627077567856,0.288,0.1,3.00842459332059e-08,"NP-","significant","positive","ZNF317"
"1358","Dock8",4.31924633760619e-21,0.586023037913683,0.821,0.407,6.9228880299152e-17,"NP-","significant","positive","DOCK8"
"1359","Snrk",1.70711595094668e-20,0.586000828539091,0.442,0.145,2.73616544617734e-16,"NP-","significant","positive","SNRK"
"1360","Gimap3",5.66223718300894e-16,0.585981087922175,0.923,0.681,9.07543375692674e-12,"NP-","significant","positive","GIMAP5"
"1361","Sf3a2",3.6962767820769e-17,0.585864782504236,0.523,0.213,5.92439242631286e-13,"NP-","significant","positive","SF3A2"
"1362","Ipcef1",6.28397699376196e-10,-0.585753494503074,0.181,0.423,1.00719583256017e-05,"Untreated","significant","negative","IPCEF1"
"1363","Cd3d",2.29742881893897e-07,-0.585633139831684,0.493,0.704,0.00368231891099539,"Untreated","significant","negative","CD3D"
"1364","Ints1",2.09854926535941e-07,-0.585495389368375,0.193,0.423,0.00336355476251807,"NP+","significant","negative","INTS1"
"1365","Dnajc8",4.50670290730305e-20,0.585380408239428,0.626,0.258,7.22334341982534e-16,"NP-","significant","positive","DNAJC8"
"1366","Shoc2",4.80082249848867e-18,0.584995193911739,0.391,0.131,7.69475830057764e-14,"NP-","significant","positive","SHOC2"
"1367","Sf3b6",5.98865978688415e-07,-0.584658153615789,0.235,0.459,0.00959862390641792,"NP+","significant","negative","SF3B6"
"1368","Tgfbrap1",1.44500292689234e-13,0.584325299012152,0.272,0.075,2.31605069122305e-09,"NP-","significant","positive","TGFBRAP1"
"1369","Manf",4.96101873402181e-16,0.584140538073371,0.618,0.287,7.95152082689016e-12,"NP-","significant","positive","MANF"
"1370","Krr1",1.1159360390098e-09,-0.583933295408204,0.072,0.266,1.78862228332492e-05,"Untreated","significant","negative","KRR1"
"1371","Esyt2",3.79090783906248e-08,-0.583788434625452,0.446,0.717,0.000607606708444934,"NP+","significant","negative","ESYT2"
"1372","Ap1m1",1.13732803420884e-13,-0.583171317973225,0.163,0.471,1.82290937322993e-09,"Untreated","significant","negative","AP1M1"
"1373","Eif4e",1.19710454445999e-11,-0.582637073741557,0.138,0.397,1.91871916386047e-07,"Untreated","significant","negative","EIF4E"
"1374","Tmed10",1.01405081630466e-09,-0.582504951767681,0.098,0.296,1.6253206483731e-05,"Untreated","significant","negative","TMED10"
"1375","Cds2",3.2782215296281e-07,-0.582001124908178,0.367,0.598,0.00525433346768792,"NP+","significant","negative","CDS2"
"1376","Scp2",1.74359309690408e-21,0.581871387478148,0.444,0.158,2.79463101571786e-17,"NP-","significant","positive","SCP2"
"1377","Nup98",1.06027084763644e-13,-0.581805476628676,0.159,0.448,1.69940211459168e-09,"Untreated","significant","negative","NUP98"
"1378","Flna",7.29717920382534e-18,0.581775300325427,0.923,0.636,1.16959188278913e-13,"NP-","significant","positive","FLNA"
"1379","Herc1",2.36088633245071e-07,-0.581643400885441,0.271,0.499,0.003784028613652,"NP+","significant","negative","HERC1"
"1380","Rad21",1.24239180853631e-11,-0.581498242072329,0.228,0.523,1.991305590722e-07,"Untreated","significant","negative","RAD21"
"1381","Zfp148",1.58483003325432e-15,0.581090267721499,0.318,0.095,2.54016557730002e-11,"NP-","significant","positive","ZNF148"
"1382","Tnfaip8",2.25316004558515e-16,0.580691411368195,0.632,0.31,3.61136492106388e-12,"NP-","significant","positive","TNFAIP8"
"1383","Clptm1l",1.16616253083165e-08,-0.580400984059171,0.277,0.541,0.000186912530441696,"NP+","significant","negative","CLPTM1L"
"1384","Slc23a2",1.32869905180625e-11,0.580245576259663,0.282,0.097,2.12963884023505e-07,"NP-","significant","positive","SLC23A2"
"1385","Cfl1",1.55349842650509e-10,-0.580228289075461,0.771,0.946,2.48994727800237e-06,"NP+","significant","negative","CFL1"
"1386","Kpna3",2.38138079049636e-09,-0.580212129451901,0.08,0.266,3.81687713100756e-05,"Untreated","significant","negative","KPNA3"
"1387","Psmc4",2.68941836970758e-17,0.580172794896577,0.465,0.181,4.31059976296731e-13,"NP-","significant","positive","PSMC4"
"1388","Lrrfip2",2.80098089868645e-13,0.579907033416638,0.318,0.109,4.48941218441464e-09,"NP-","significant","positive","LRRFIP2"
"1389","March2",3.8143381606306e-16,0.579585789282764,0.374,0.131,6.11362120385872e-12,"NP-","significant","positive",NA
"1390","S100a8",1.53189349404535e-11,-0.579389221225405,0.293,0.553,2.45531889225588e-07,"Untreated","significant","negative","S100A8"
"1391","Syvn1",5.6618126615253e-09,-0.579061872792557,0.094,0.276,9.07475333389275e-05,"Untreated","significant","negative","SYVN1"
"1392","Ccnd3",1.58858304756867e-16,0.578933023930574,0.746,0.423,2.54618090864306e-12,"NP-","significant","positive","CCND3"
"1393","Tbc1d2b",2.64223163068765e-12,-0.578220542392319,0.163,0.436,4.23496885766616e-08,"Untreated","significant","negative","TBC1D2B"
"1394","Sdhaf2",6.15012299953098e-14,-0.577373315821556,0.094,0.338,9.85741714364826e-10,"Untreated","significant","negative","SDHAF2"
"1395","Pom121",1.54565048487297e-17,0.577330311147493,0.467,0.17,2.47736859715439e-13,"NP-","significant","positive","POM121C"
"1396","Elp5",3.26371861231503e-09,-0.57730684121526,0.109,0.325,5.23108819181854e-05,"Untreated","significant","negative","ELP5"
"1397","Psmb3",7.27215114186543e-13,0.577217428562008,0.307,0.109,1.16558038501819e-08,"NP-","significant","positive","PSMB3"
"1398","Srrm2",2.69260723624294e-08,-0.577084725006457,0.452,0.736,0.000431571087825019,"NP+","significant","negative","SRRM2"
"1399","Hira",2.71009781708928e-16,0.577053845337056,0.353,0.113,4.3437447812307e-12,"NP-","significant","positive","HIRA"
"1400","Kat2a",3.09350327212228e-12,0.576968490508489,0.279,0.097,4.95826704455759e-08,"NP-","significant","positive","KAT2A"
