"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"126","Clec4a1",2.82923216967566e-38,-0.793354481916813,0.696,0.839,4.28345750488895e-34,"Untreated"
"127","Ets2",3.49367733420584e-38,-0.873755617774631,0.533,0.795,5.28942748398764e-34,"Untreated"
"128","Rin3",4.04308544425376e-38,1.0028308322373,0.754,0.557,6.1212313626002e-34,"Untreated"
"129","Batf3",5.77424207624947e-38,1.38336282911826,0.493,0.235,8.7422025034417e-34,"Untreated"
"130","Gabarap",6.14451453411756e-38,-0.997902644663256,0.38,0.684,9.30279500465398e-34,"Untreated"
"131","Sphk2",7.92175882606036e-38,1.26888810170436,0.552,0.294,1.19935428626554e-33,"Untreated"
"132","Tsc22d4",1.32451031435061e-37,1.31320270963834,0.554,0.296,2.00530861592682e-33,"Untreated"
"133","Nfe2l2",3.29504725892974e-37,-1.14631668819894,0.461,0.703,4.98870155001963e-33,"Untreated"
"134","P4hb",3.91384605047981e-37,0.901091630230012,0.781,0.63,5.92556292042643e-33,"Untreated"
"135","Apoe",8.02948848450823e-37,1.08214197858928,0.817,0.64,1.21566455655455e-32,"Untreated"
"136","Pmaip1",9.23363854384205e-37,0.763491433946427,0.926,0.842,1.39797287553769e-32,"Untreated"
"137","Phf11b",1.24326958112875e-36,-1.77525577686111,0.163,0.465,1.88231014582892e-32,"Untreated"
"138","Gpsm3",3.02795270109864e-36,0.828707570155036,0.841,0.739,4.58432038946333e-32,"Untreated"
"139","Clcn7",4.41482904132435e-36,-1.46430467839071,0.255,0.547,6.68405116856507e-32,"Untreated"
"140","Cst3",4.74305152825133e-36,0.819801852098928,1,0.981,7.18098001377252e-32,"Untreated"
"141","M6pr",4.9267797458416e-36,-0.822118369158536,0.548,0.797,7.45914453520419e-32,"Untreated"
"142","Tpcn1",1.68156024748847e-35,1.60918235248807,0.327,0.121,2.54588221469754e-31,"Untreated"
"143","Wdfy4",1.71192049194803e-35,1.54734488746148,0.516,0.269,2.59184762480932e-31,"Untreated"
"144","Ikbke",2.00499298228438e-35,-1.75252292265095,0.168,0.461,3.03555937517856e-31,"Untreated"
"145","Fcgr4",3.146399688481e-35,-1.54031248804125,0.397,0.629,4.76364912836024e-31,"Untreated"
"146","Pde4b",4.14480753772219e-35,-0.826222951619213,0.628,0.82,6.27523861211139e-31,"Untreated"
"147","Fam49a",4.68897832105141e-35,-0.731536852101408,0.705,0.856,7.09911317807183e-31,"Untreated"
"148","Smap2",5.39447669736794e-35,1.19964976927955,0.599,0.366,8.16723771981507e-31,"Untreated"
"149","Cyfip2",6.39620939067559e-35,-1.82363224973572,0.225,0.502,9.68386101748285e-31,"Untreated"
"150","Prex1",8.06996765423382e-35,0.793938357496987,0.837,0.756,1.221793102851e-30,"Untreated"
"151","Flna",9.8675520183123e-35,-0.603466190616082,0.921,0.935,1.49394737557248e-30,"Untreated"
"152","Nrp1",1.06139986859341e-34,-1.88277063820054,0.161,0.449,1.60695940105042e-30,"Untreated"
"153","Cept1",1.13570117170573e-34,-1.11824649647308,0.314,0.611,1.71945157396247e-30,"Untreated"
"154","Txn1",1.16040812436789e-34,-1.21096656911376,0.287,0.586,1.75685790029299e-30,"Untreated"
"155","Trafd1",1.50811462554104e-34,-0.638056603947278,0.728,0.877,2.28328554306913e-30,"Untreated"
"156","Ifngr1",1.62345000462713e-34,0.663214662005742,0.943,0.899,2.45790330700547e-30,"Untreated"
"157","Acp2",1.69884180080442e-34,-1.81342151568645,0.189,0.472,2.57204648641789e-30,"Untreated"
"158","Nadk",2.90601809271852e-34,-0.704861225258384,0.743,0.872,4.39971139237583e-30,"Untreated"
"159","Tnfrsf1b",4.40541606433685e-34,-0.666366081518491,0.828,0.889,6.66979992140599e-30,"Untreated"
"160","Eif3b",7.26453886356233e-34,1.28096147046628,0.476,0.237,1.09985118394334e-29,"Untreated"
"161","Atp6v0c",1.06226197751376e-33,-0.861675873851983,0.616,0.817,1.60826463395583e-29,"Untreated"
"162","Irgm1",1.10306518192633e-33,-1.49380505605811,0.259,0.537,1.67004068543647e-29,"Untreated"
"163","Lyn",1.21134475061288e-33,-0.515089233885479,0.858,0.93,1.83397595242791e-29,"Untreated"
"164","Eid1",1.80872639592753e-33,1.16013925689818,0.643,0.44,2.73841176343429e-29,"Untreated"
"165","Xdh",5.92163670394073e-33,-1.14486012802257,0.541,0.776,8.96535796976626e-29,"Untreated"
